X2	Y2
-0.0842	-1.6317
0.2732	0.4219
-0.0842	-0.2806
0.4776	-1.3074
0.5797	0.2598
0.452	-0.6589
0.3499	-0.4427
0.1456	0.2058
0.9883	-0.3887
0.452	-0.3347
0.12	-0.5508
-0.0332	-1.2534
0.069	-0.5508
0.9628	-0.1725
0.1456	-1.5236
0.12	-0.0104
0.069	-0.4968
0.7584	-2.2802
0.452	-0.767
0.2988	1.719
-0.0332	0.5841
0.6563	-1.9019
0.6818	0.6922
0.0945	-0.4427
0.5286	-1.0372
1.116	-0.9832
0.0434	-0.8751
0.2478	0.476
-0.263	0.3679
0.1966	-1.2534
0.6052	-0.767
0.4776	-1.4155
0.6052	-0.821
0.2222	-1.4695
-0.2374	-0.1185
0.1711	0.3139
0.7074	-0.821
0.1966	0.2598
0.4265	0.6922
0.5542	-1.0912
0.6052	-1.8478
0.2222	0.53
0.12	-1.3615
-0.0076	-0.1725
0.401	-1.8478
0.7074	-1.4155
0.0945	-0.7129
0.1456	-1.0912
0.452	-0.6049
0.452	-0.4427
-0.0076	0.53
-0.0076	-0.0644
0.4265	-1.3074
0.1456	-1.3615
0.401	-0.821
