PTelj;PBoldog;PMagany;KClus6;KClus7;KClus8;KClus9;KClus10;SPSS7
26;9;1;2;2;2;2;2;6
14;2;8;6;6;7;8;9;3
16;5;2;5;5;5;6;7;4
23;5;8;3;7;8;9;10;1
29;9;0;2;2;2;2;2;6
24;8;7;1;1;1;1;1;7
24;9;2;2;2;4;4;4;2
22;9;0;4;4;4;4;4;2
26;8;4;1;1;1;1;6;7
24;8;3;4;4;4;4;6;2
26;10;0;2;2;2;2;2;6
22;5;9;3;7;8;9;10;1
20;5;8;3;7;3;3;10;1
24;9;1;2;2;2;4;4;2
26;9;1;2;2;2;2;2;6
28;8;5;1;1;1;1;6;7
24;9;4;1;1;1;1;6;2
26;9;9;1;1;1;1;1;7
25;8;0;2;2;4;4;4;2
26;8;0;2;2;2;2;4;6
24;7;1;4;4;4;4;4;2
25;8;0;2;2;4;4;4;2
20;7;5;3;3;3;5;5;1
25;8;2;4;4;4;4;4;2
24;10;1;2;2;2;2;2;2
9;2;2;5;5;5;6;7;5
24;7;5;1;1;1;5;6;7
25;9;7;1;1;1;1;1;7
20;7;3;4;4;6;5;5;4
25;9;7;1;1;1;1;1;7
26;8;1;2;2;2;4;4;6
27;9;9;1;1;1;1;1;7
28;9;0;2;2;2;2;2;6
26;9;2;2;2;2;2;2;6
22;9;0;4;4;4;4;4;2
17;5;3;5;5;5;6;7;4
22;7;3;4;4;4;5;5;2
22;6;1;4;4;4;4;4;2
26;9;1;2;2;2;2;2;6
15;7;5;5;3;3;3;3;3
22;8;2;4;4;4;4;4;2
15;6;2;5;5;5;6;7;4
23;7;7;1;1;1;1;1;1
26;9;3;2;2;2;2;6;6
24;9;2;2;2;4;4;4;2
24;8;1;4;4;4;4;4;2
18;8;3;4;4;6;7;8;4
18;7;10;3;3;3;3;3;3
25;9;3;2;2;2;2;6;2
30;9;0;2;2;2;2;2;6
25;9;0;2;2;2;2;2;2
17;7;0;4;4;6;7;8;4
21;5;5;3;7;3;5;5;1
24;8;2;4;4;4;4;4;2
24;8;1;4;4;4;4;4;2
20;9;2;4;4;6;7;8;4
20;8;6;3;3;3;5;5;1
20;10;2;4;4;6;7;8;4
23;8;1;4;4;4;4;4;2
13;6;2;5;5;5;6;7;5
29;10;1;2;2;2;2;2;6
21;7;6;3;3;3;5;5;1
22;7;4;4;3;3;5;5;1
28;10;0;2;2;2;2;2;6
