k;EESS%;Pontbisz;XBmod;Sil.eh.;HCátlag;CLdelta;GDI24;HCmin-HCmax
8;78,72;0,355;0,456;0,598;0,434;0,893;0,381;0,24-1,03
7;76,83;0,370;0,534;0,610;0,471;0,895;0,484;0,24-1,03
6;74,70;0,369;0,491;0,614;0,513;0,888;0,345;0,24-1,44
9;80,26;0,351;0,496;0,590;0,404;0,898;0,381;0,24-1,03
10;81,48;0,342;0,473;0,592;0,379;0,896;0,342;0,18-1,03
