EESS%;Pontbisz;XBmod;Sil.eh.;HCátlag;CLdelta;GDI24;HCmin-HCmax;system
69.66;0.36;0.449;0.587;0.613;0.852;0.289;0.25-1.90;R
69.89;0.361;0.394;0.595;0.609;NA;NA;0.24-1.44;ROPStat
