status_id;text
1377590858665582596;@kjrevia NOOOO not the nook!!! https://t.co/YANCGMLgyi
1377411632725381126;@kjrevia @Maho42 @nikkigarcia4281 I have old bay BE RIGHT THERE
1377588319446532102;@kjrevia I regret to inform you that your home has been turned into a kitty frat house. Please purchase a fog machine and plan your weekends accordingly.
1377341851271888903;"Hi friends, just a reminder that some half baked holiday is not an excuse to punch down, shame others, gaslight your friends or generally be an asshole. 

Be kind tomorrow. Be aware of the impact of your *pranks*."
1377395063559315458;@HyperboleGrant @JoshuaBuergel Same and same
1377438610945794049;@Maho42 @Nerdsbeware @yelmelnobrainer Me too
1377308975734095876;@6_isles Oh such a sweet snuggle baby
1377615114875117575;@LizzyMcGrevy Oh no. Nope.
1377343655355183108;@LizzyMcGrevy I mean... some of that could apply there too. 😘
1377340158563942400;@thebakermeeple But still worthy, of course.
1377338274520305665;@thebakermeeple One of those seems a little less exciting than the others
1377449964683558915;"@sentient02970 This giant floof just ran at top speed into his box fort while purring and drooling. Like body slammed it. 

🤣😭

Help"
1377398516637663233;@nikkigarcia4281 Oh damn. Ok but if this is amazing please let me know. Crab cakes benedict is a fave of mine and clean cake waffles would make it even better.
1377450311145644041;And last night this one was so high she got kicked out of her kid's bedroom. That never happens. https://t.co/4r03mp8aP1
1377410906410217473;@Maho42 @nikkigarcia4281 Do you have Old Bay? I do not
1377408109178728448;@nikkigarcia4281 Oh damn! Do you have a recipe for this?
1377600852618321922;@yelmelnobrainer Once things seem safer and we're all vaxxed!
1377591344714092547;@LizzyMcGrevy Nook next to a spilled La Croix even. All seems to be fine but they're getting some side eye.
1377594455004483591;"@thebuckeyegamer @hellenus They're currently all hunting each other and I haven't even finished my coffee yet. 

It's about to be war. Elphy is hissing Chirb is army crawling."
1377325204754563077;@DrWhatIf What a good wolf baby
1377596100601872393;@yelmelnobrainer I didn't even know you had a sister!
1377310195420913666;@AmericanoOnLine Bye brows!
1377442332883189760;"@GTGChristopher They really are. It was a good fit. 

Now I just super miss concerts though. Also other people's dogs."
1377588313301905409;"Update: they knocked a table over while we were all asleep. 

Bigger cats means bigger destruction"
1377594957284978688;@yelmelnobrainer Congratulations Rand
1377331000351498246;@estefaniar88 That's too hot 😮
1377383807003676674;@jenhatesbeets My least favorite is when companies try to pull some bullshit and it's just super uncomfortable.
1377592516955017219;@hellenus They're just so high all the time now Dee. So high.
1377395392271114241;@ianotooletweets @eric_lang That and the fact that they are just all around ridiculous looking. In that narwhal way where they seem like they shouldn't even be real.
1377341201033142276;@arsmith7 I got engine building
1377591036617363460;"@thebakermeeple That's a traumatic autocorrect though. 

My kids also default to are you dead? Anxious babies."
1377399458258817030;@nikkigarcia4281 Ahhh yeah
1377318886106890250;@HyperboleGrant @JoshuaBuergel @captainraffi Imagine being like 6 months pregnant and oops surprise now you're pregnant again! 🤣
1377600729154748418;Timeline cuteness cleanse https://t.co/RnrWXZNErD
1377593297112301569;@hellenus I bet I could get them to wear sunglasses
1377341968984928257;@arsmith7 Seems about right. I do okay Kanban very well, so obviously I could build a car.
1377441603887845382;"@GTGChristopher I saw them in concert at the LLBean flagship place in Maine a few summers ago. It was lovely. 

Flea was also there with like super chill Maine security people. 

But the best part was everyone brings their dogs. I got to pet so many dogs. So if you make a cover band, dogs please"
1377597109789134853;@yelmelnobrainer Oh nice! I knew you had younger brothers. You can visit your new baby while I'm visiting mine! Mine is almost two though :)
1377450475423956993;@sentient02970 Can he try having these frenzies during the day time? He is giant and sounds like a full grown person running up and down the stairs.
1377600651509780487;@hellenus Yesss so cute 😍
1377316143497641986;@HyperboleGrant @JoshuaBuergel @captainraffi How do you get to be almost 40 and honestly not know how twins are made?
1377417695772045313;@DrWhatIf Yeah, she as talking about you. Obviously
1377455506156060676;@PhantomMeeple Hell yes
1377331229389819907;@beforeyouplay_ I bought it on Steam. I really need to get it played. It looks like a game I'll absolutely love.
1377404476110213120;@DrWhatIf Yeah, well you're a butt cheek on a stick. So :P
1377449049184436226;"You ever buy your cats a bunch of nip toys and then really regret it?

This one right here just cannot handle his nip. He gets all paranoid. He howls and screams while he's purring. Knocks everything over. Eats trash. 

He's currently tearing apart his box fort 12 made him. https://t.co/o1JkGm1aGt"
1377377523038752773;@yelmelnobrainer I plan to do coffee, chatting and coloring in Saturday if you're free!
1377409205729042440;@nikkigarcia4281 Thank you! @Maho42 we have to try this for crabcake benedicts
1377409037738733572;@425suzanne @RavensburgerNA Absolutely and obviously quite cute.
1377414162364698627;@LizzyMcGrevy @Maho42 @nikkigarcia4281 Yesss. Once we're all vaxxed we can have a kick ass brunch date!
1377383939682238466;@PropTartMN Oh. Mmhmm. Probably should take that coat.
1377446253513076741;"@GTGChristopher Yeah. Concerts are definitely fairly high on my things I miss list. Sigh. 

I am hopeful that even if they aren't really probable this year, maybe summer of 2022."
1377590692118159361;"@LizzyMcGrevy Lizzy, they knocked and end table over while we were asleep. Spilled a seltzer and flipped my Nook off. 

Guess I'll order that smoke machine now."
1377378228008939526;@yelmelnobrainer I'm so grateful that @Nerdsbeware suggested it as an event! It turns out that co-existing with friendly faces and some chats is exactly what I need sometimes. Even while we are all doing our own thing!
