Software;EESS%;Pontbisz;XBmod;Sil.eh.;HCatlag;CLdelta;GDI24;HCmin-HCmax
ROPStat;78.47;0.361;0.536;0.668;0.438;0.898;0.415;0.22-1.12
SPSS;74.91;0.334;0.209;0.565;0.511;0.855;0.204;0.23-1.55
